codcurso;nome_curso;codfatec;instituicao;ano;semestre;periodo;nota_corte;nota_maxima
0;Ciência de Dados;71;Adamantina - Fatec Adamantina;2022;2;NOITE;25,143;85,250
0;Gestão Comercial;71;Adamantina - Fatec Adamantina;2022;2;NOITE;44,000;77,970
0;Análise e Desenvolvimento de Sistemas;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;TARDE;57,750;92,400
0;Análise e Desenvolvimento de Sistemas;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;70,125;90,200
0;Design de Moda;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;50,000;81,675
0;Gestão Empresarial;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;39,000;87,010
0;Gestão Empresarial;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;64,750;90,750
0;Gestão Empresarial;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;EAD;77,250;94,355
0;Jogos Digitais;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;61,020;93,000
0;Logística;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;43,250;86,750
0;Logística;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;59,125;95,203
0;Produção Têxtil;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;41,250;80,575
0;Segurança da Informação;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;52,800;93,500
0;Segurança da Informação;3;Americana - Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;70,562;94,920
0;Análise e Desenvolvimento de Sistemas;35;Araçatuba - Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;MANHÃ;60,500;100,000
0;Biocombustíveis;35;Araçatuba - Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;NOITE;DESCL.;85,525
0;Gestão Empresarial;35;Araçatuba - Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;EAD;64,000;91,850
